Jaar week,AgeGroup,Hospitalisations
2 mrt. 2020 t/m 8 mrt. 2020 (Week 10),60–79,0.382
2 mrt. 2020 t/m 8 mrt. 2020 (Week 10),06–19,0
2 mrt. 2020 t/m 8 mrt. 2020 (Week 10),80–++,0.482
2 mrt. 2020 t/m 8 mrt. 2020 (Week 10),00–05,0.006
2 mrt. 2020 t/m 8 mrt. 2020 (Week 10),40–59,0.106
2 mrt. 2020 t/m 8 mrt. 2020 (Week 10),20–39,0.024
9 mrt. 2020 t/m 15 mrt. 2020 (Week 11),40–59,0.186
9 mrt. 2020 t/m 15 mrt. 2020 (Week 11),60–79,0.395
9 mrt. 2020 t/m 15 mrt. 2020 (Week 11),80–++,0.365
9 mrt. 2020 t/m 15 mrt. 2020 (Week 11),00–05,0.011
9 mrt. 2020 t/m 15 mrt. 2020 (Week 11),06–19,0.005
9 mrt. 2020 t/m 15 mrt. 2020 (Week 11),20–39,0.039
16 mrt. 2020 t/m 22 mrt. 2020 (Week 12),06–19,0.004
16 mrt. 2020 t/m 22 mrt. 2020 (Week 12),60–79,0.411
16 mrt. 2020 t/m 22 mrt. 2020 (Week 12),80–++,0.254
16 mrt. 2020 t/m 22 mrt. 2020 (Week 12),20–39,0.065
16 mrt. 2020 t/m 22 mrt. 2020 (Week 12),40–59,0.254
16 mrt. 2020 t/m 22 mrt. 2020 (Week 12),00–05,0.013
23 mrt. 2020 t/m 29 mrt. 2020 (Week 13),00–05,0.007
23 mrt. 2020 t/m 29 mrt. 2020 (Week 13),80–++,0.221
23 mrt. 2020 t/m 29 mrt. 2020 (Week 13),40–59,0.287
23 mrt. 2020 t/m 29 mrt. 2020 (Week 13),60–79,0.418
23 mrt. 2020 t/m 29 mrt. 2020 (Week 13),20–39,0.063
23 mrt. 2020 t/m 29 mrt. 2020 (Week 13),06–19,0.005
30 mrt. 2020 t/m 5 apr. 2020 (Week 14),80–++,0.275
30 mrt. 2020 t/m 5 apr. 2020 (Week 14),40–59,0.252
30 mrt. 2020 t/m 5 apr. 2020 (Week 14),06–19,0.01
30 mrt. 2020 t/m 5 apr. 2020 (Week 14),60–79,0.399
30 mrt. 2020 t/m 5 apr. 2020 (Week 14),00–05,0.009
30 mrt. 2020 t/m 5 apr. 2020 (Week 14),20–39,0.056
6 apr. 2020 t/m 12 apr. 2020 (Week 15),00–05,0.009
6 apr. 2020 t/m 12 apr. 2020 (Week 15),20–39,0.055
6 apr. 2020 t/m 12 apr. 2020 (Week 15),06–19,0.007
6 apr. 2020 t/m 12 apr. 2020 (Week 15),60–79,0.352
6 apr. 2020 t/m 12 apr. 2020 (Week 15),80–++,0.353
6 apr. 2020 t/m 12 apr. 2020 (Week 15),40–59,0.224
13 apr. 2020 t/m 19 apr. 2020 (Week 16),80–++,0.37
13 apr. 2020 t/m 19 apr. 2020 (Week 16),00–05,0.011
13 apr. 2020 t/m 19 apr. 2020 (Week 16),06–19,0.01
13 apr. 2020 t/m 19 apr. 2020 (Week 16),40–59,0.199
13 apr. 2020 t/m 19 apr. 2020 (Week 16),60–79,0.342
13 apr. 2020 t/m 19 apr. 2020 (Week 16),20–39,0.069
20 apr. 2020 t/m 26 apr. 2020 (Week 17),80–++,0.376
20 apr. 2020 t/m 26 apr. 2020 (Week 17),60–79,0.341
20 apr. 2020 t/m 26 apr. 2020 (Week 17),00–05,0.011
20 apr. 2020 t/m 26 apr. 2020 (Week 17),20–39,0.073
20 apr. 2020 t/m 26 apr. 2020 (Week 17),40–59,0.19
20 apr. 2020 t/m 26 apr. 2020 (Week 17),06–19,0.009
27 apr. 2020 t/m 3 mei 2020 (Week 18),80–++,0.391
27 apr. 2020 t/m 3 mei 2020 (Week 18),20–39,0.083
27 apr. 2020 t/m 3 mei 2020 (Week 18),00–05,0.013
27 apr. 2020 t/m 3 mei 2020 (Week 18),40–59,0.183
27 apr. 2020 t/m 3 mei 2020 (Week 18),60–79,0.316
27 apr. 2020 t/m 3 mei 2020 (Week 18),06–19,0.014
4 mei 2020 t/m 10 mei 2020 (Week 19),06–19,0.011
4 mei 2020 t/m 10 mei 2020 (Week 19),00–05,0.005
4 mei 2020 t/m 10 mei 2020 (Week 19),60–79,0.301
4 mei 2020 t/m 10 mei 2020 (Week 19),20–39,0.077
4 mei 2020 t/m 10 mei 2020 (Week 19),80–++,0.434
